,age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
count,30139.0,30139,30139.0,30139,30139.0,30139,30139,30139,30139,30139,30139.0,30139.0,30139.0,30139,30139
unique,,7,,16,,7,14,6,5,2,,,,41,2
top,,Private,,HS-grad,,Married-civ-spouse,Prof-specialty,Husband,White,Male,,,,United-States,<=50K
freq,,22264,,9834,,14059,4034,12457,25912,20366,,,,27487,22633
mean,38.44172003052523,,189795.02597962774,,10.122532267162148,,,,,,1092.8412024287468,88.43992833206144,40.934702544875414,,
std,13.131425971315377,,105658.62434055071,,2.5487384526126786,,,,,,7409.1105963124355,404.4452387625337,11.978753137561919,,
min,17.0,,13769.0,,1.0,,,,,,0.0,0.0,1.0,,
25%,28.0,,117627.5,,9.0,,,,,,0.0,0.0,40.0,,
50%,37.0,,178417.0,,10.0,,,,,,0.0,0.0,40.0,,
75%,47.0,,237604.5,,13.0,,,,,,0.0,0.0,45.0,,
max,90.0,,1484705.0,,16.0,,,,,,99999.0,4356.0,99.0,,
