feature,coefficient,abs_coefficient
capital.gain,2.3499132083311434,2.3499132083311434
marital.status_Married-AF-spouse,1.8042240754653232,1.8042240754653232
occupation_Priv-house-serv,-1.6887892935356466,1.6887892935356466
marital.status_Married-civ-spouse,1.439535894661975,1.439535894661975
native.country_Cambodia,1.408183339931163,1.408183339931163
native.country_Dominican-Republic,-1.2282684883183803,1.2282684883183803
native.country_Greece,-1.1807243255186348,1.1807243255186348
marital.status_Never-married,-1.1437641093629018,1.1437641093629018
relationship_Own-child,-1.1310976888959143,1.1310976888959143
relationship_Wife,1.1159457594951803,1.1159457594951803
native.country_Columbia,-1.0926223885116737,1.0926223885116737
occupation_Farming-fishing,-0.9733464902855619,0.9733464902855619
native.country_Italy,0.9698390893155914,0.9698390893155914
native.country_Vietnam,-0.9601534228933012,0.9601534228933012
workclass_Without-pay,-0.9581384979700421,0.9581384979700421
occupation_Exec-managerial,0.8693287687878429,0.8693287687878429
marital.status_Separated,-0.8618068208162053,0.8618068208162053
occupation_Tech-support,0.8000893652212635,0.8000893652212635
native.country_Laos,-0.7796890613766521,0.7796890613766521
native.country_El-Salvador,-0.7770873917856227,0.7770873917856227
education.num,0.7585385323888113,0.7585385323888113
sex_Female,-0.7557877426282381,0.7557877426282381
education_1st-4th,0.734888376055152,0.734888376055152
occupation_Other-service,-0.7217834364583506,0.7217834364583506
relationship_Other-relative,-0.7194502277461263,0.7194502277461263
marital.status_Divorced,-0.7062045241987669,0.7062045241987669
occupation_Protective-serv,0.6996237677371882,0.6996237677371882
marital.status_Married-spouse-absent,-0.6931153616218342,0.6931153616218342
native.country_Yugoslavia,0.6848569155505034,0.6848569155505034
workclass_Federal-gov,0.6602235127283524,0.6602235127283524
education_Preschool,-0.6411887793968991,0.6411887793968991
native.country_Germany,0.6261227763783886,0.6261227763783886
native.country_Ireland,0.5865652290576201,0.5865652290576201
native.country_Philippines,0.5832617191172574,0.5832617191172574
marital.status_Widowed,-0.5721852274805473,0.5721852274805473
native.country_Japan,0.5312081125175814,0.5312081125175814
native.country_Outlying-US(Guam-USVI-etc),-0.5223875260672303,0.5223875260672303
occupation_Handlers-cleaners,-0.5174453054077677,0.5174453054077677
native.country_Cuba,0.508302693160368,0.508302693160368
education_Assoc-acdm,-0.4954361079977036,0.4954361079977036
native.country_China,-0.48198561438975646,0.48198561438975646
native.country_Nicaragua,-0.47349278965919644,0.47349278965919644
native.country_France,0.4667357137320329,0.4667357137320329
race_Amer-Indian-Eskimo,-0.45792769690982793,0.45792769690982793
hours.per.week,0.4453259939484883,0.4453259939484883
native.country_England,0.43295966712069545,0.43295966712069545
education_11th,-0.4212116663449437,0.4212116663449437
native.country_Mexico,-0.40195287047464023,0.40195287047464023
occupation_Sales,0.4007793265751294,0.4007793265751294
native.country_India,0.37131976062025196,0.37131976062025196
occupation_Prof-specialty,0.36435576063544955,0.36435576063544955
native.country_Canada,0.3609070292924094,0.3609070292924094
age,0.35993561239615773,0.35993561239615773
native.country_Jamaica,0.3590374904270992,0.3590374904270992
native.country_United-States,0.3554474210365814,0.3554474210365814
education_Doctorate,0.34917301674586126,0.34917301674586126
native.country_Guatemala,0.3305479096465811,0.3305479096465811
native.country_Ecuador,-0.32700604021319696,0.32700604021319696
native.country_Thailand,-0.3237031211422455,0.3237031211422455
native.country_South,-0.32357203215799624,0.32357203215799624
education_Prof-school,0.32295783975406545,0.32295783975406545
education_5th-6th,0.3055300724437508,0.3055300724437508
occupation_Armed-Forces,-0.2993440909079,0.2993440909079
native.country_Peru,-0.2965295725596173,0.2965295725596173
workclass_State-gov,-0.2772888163082346,0.2772888163082346
capital.loss,0.2687673512485969,0.2687673512485969
workclass_Self-emp-not-inc,-0.2674022856513152,0.2674022856513152
native.country_Scotland,-0.253859098794729,0.253859098794729
relationship_Not-in-family,0.2484438252511441,0.2484438252511441
occupation_Craft-repair,0.23722996449327816,0.23722996449327816
native.country_Portugal,0.22771718160818452,0.22771718160818452
relationship_Husband,-0.21951753950103314,0.21951753950103314
workclass_Self-emp-inc,0.21702647104395897,0.21702647104395897
race_Other,-0.20382177499045517,0.20382177499045517
native.country_Honduras,-0.2021656698122435,0.2021656698122435
education_9th,0.1994289958747554,0.1994289958747554
education_HS-grad,-0.19830092342655078,0.19830092342655078
education_7th-8th,-0.18845213157372107,0.18845213157372107
race_Black,-0.18027175932061126,0.18027175932061126
education_Assoc-voc,-0.1793338002522922,0.1793338002522922
education_10th,-0.16660610517574223,0.16660610517574223
native.country_Haiti,0.16013246418663477,0.16013246418663477
workclass_Never-worked,-0.15407770371704504,0.15407770371704504
occupation_Adm-clerical,0.13981446928502458,0.13981446928502458
education_Bachelors,-0.1361231722694698,0.1361231722694698
native.country_Hong,0.13412712043129504,0.13412712043129504
occupation_Machine-op-inspct,-0.12679958724423526,0.12679958724423526
native.country_Puerto-Rico,-0.09946918234480638,0.09946918234480638
native.country_Taiwan,-0.08778994627212658,0.08778994627212658
education_Masters,-0.08738163187326363,0.08738163187326363
occupation_Transport-moving,0.08297070775139397,0.08297070775139397
education_Some-college,-0.08152368095530971,0.08152368095530971
native.country_Hungary,0.06656595153552314,0.06656595153552314
fnlwgt,0.06388678382278913,0.06388678382278913
race_Asian-Pac-Islander,0.06081382843055344,0.06081382843055344
native.country_Trinadad&Tobago,-0.058475541341954033,0.058475541341954033
native.country_Poland,-0.05374576616146683,0.05374576616146683
education_12th,-0.049736374960539204,0.049736374960539204
race_White,0.04789132943746501,0.04789132943746501
workclass_Private,0.04159823236143772,0.04159823236143772
relationship_Unmarried,-0.027640201956168495,0.027640201956168495
native.country_Iran,0.027526191776868356,0.027526191776868356
sex_Male,0.022471669275458784,0.022471669275458784
workclass_Local-gov,0.004743014160039347,0.004743014160039347
